# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Dec  8 12:11:19 UTC 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0055325 -0.44000 9.20000 0.3915730417 2.1067302813    0.392 -1.684  3.5552  4.888    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-15      0.00 7.359e-01 2.585e-01 1.007e-03 2.717e-04 2.464e-03 -1.000 5.600e-03 8.981 13.166 11.861 10.394 9.351 8.319 7.239 6.637 6.408
0.0055325 -0.44000 9.20000 0.3999999762 2.1185023988    0.400 -1.661  3.5570  4.881    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-15      0.00 7.359e-01 2.585e-01 1.007e-03 2.717e-04 2.464e-03 -1.000 5.600e-03 8.922 13.076 11.776 10.315 9.277 8.258 7.186 6.582 6.354
0.0055325 -0.44000 9.20000 0.4499999881 2.1822809009    0.450 -1.498  3.5712  4.826    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-15      0.00 7.359e-01 2.585e-01 1.007e-03 2.717e-04 2.464e-03 -1.000 5.600e-03 8.516 12.437 11.176 9.754 8.759 7.837 6.823 6.206 5.987
0.0055325 -0.44000 9.20000 0.4739347994 2.2096361264    0.474 -1.414  3.5800  4.800    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-15      0.00 7.359e-01 2.585e-01 1.007e-03 2.717e-04 2.464e-03 -1.000 5.600e-03 8.305 12.095 10.854 9.460 8.489 7.618 6.636 6.014 5.802
0.0055325 -0.44000 9.20000 0.4999999702 2.2374541023    0.500 -1.327  3.5891  4.772    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.44e-15      0.00 7.359e-01 2.585e-01 1.007e-03 2.717e-04 2.464e-03 -1.000 5.600e-03 8.088 11.742 10.526 9.160 8.214 7.395 6.445 5.814 5.612
0.0055325 -0.44000 9.20000 0.5102721453 2.2477986262    0.510 -1.289  3.5941  4.763    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.76e-15      0.00 7.372e-01 2.573e-01 1.002e-03 2.705e-04 2.453e-03 -1.000 5.569e-03 7.991 11.576 10.371 9.022 8.091 7.297 6.362 5.726 5.531
0.0055325 -0.44000 9.20000 0.5500000119 2.2836582633    0.550 -1.148  3.6125  4.729    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.21e-15      0.00 7.403e-01 2.542e-01 9.912e-04 2.675e-04 2.426e-03 -1.000 5.556e-03 7.641 10.973 9.809 8.533 7.654 6.940 6.057 5.402 5.238
0.0055325 -0.44000 9.20000 0.5874158740 2.3123816017    0.587 -1.017  3.6334  4.709    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.97e-15      0.00 7.408e-01 2.537e-01 9.896e-04 2.669e-04 2.421e-03 -1.000 5.485e-03 7.312 10.346 9.229 8.052 7.239 6.606 5.777 5.117 4.988
0.0055325 -0.44000 9.20000 0.5999999642 2.3211212854    0.600 -0.974  3.6402  4.703    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.66e-15      0.00 7.410e-01 2.535e-01 9.891e-04 2.668e-04 2.420e-03 -1.000 5.483e-03 7.206 10.130 9.035 7.894 7.104 6.498 5.688 5.032 4.913
0.0055325 -0.44000 9.20000 0.6499999762 2.3520353107    0.650 -0.807  3.6694  4.687    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-14      0.00 7.417e-01 2.528e-01 9.867e-04 2.663e-04 2.415e-03 -1.000 5.481e-03 6.787 9.100 8.232 7.252 6.582 6.073 5.354 4.758 4.669
0.0055325 -0.44000 9.20000 0.7000000477 2.3779267258    0.700 -0.651  3.6963  4.671    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-14      0.00 7.425e-01 2.520e-01 9.840e-04 2.655e-04 2.408e-03 -1.000 5.474e-03 6.396 8.158 7.564 6.700 6.130 5.680 5.054 4.540 4.465
0.0055325 -0.44000 9.20000 0.7495452762 2.3997043054    0.750 -0.506  3.7208  4.654    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-14      0.00 7.435e-01 2.511e-01 9.681e-04 2.644e-04 2.401e-03 -1.000 5.454e-03 6.036 7.367 7.003 6.232 5.739 5.333 4.785 4.339 4.276
0.0055325 -0.44000 9.20000 0.7990905643 2.4184059704    0.799 -0.371  3.7414  4.629    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.89e-14      0.00 7.448e-01 2.498e-01 9.639e-04 2.632e-04 2.391e-03 -1.000 5.461e-03 5.698 6.722 6.528 5.831 5.390 5.017 4.531 4.138 4.082
0.0055325 -0.44000 9.20000 0.8418807983 2.4325373565    0.841 -0.260  3.7570  4.603    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-14      0.00 7.463e-01 2.483e-01 9.587e-04 2.619e-04 2.379e-03 -1.000 5.409e-03 5.420 6.237 6.161 5.518 5.115 4.767 4.322 3.964 3.916
0.0055325 -0.44000 9.20000 0.8486357927 2.4346189109    0.848 -0.243  3.7594  4.599    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-14      0.00 7.466e-01 2.480e-01 9.578e-04 2.616e-04 2.377e-03 -1.000 5.405e-03 5.377 6.164 6.105 5.471 5.073 4.728 4.290 3.937 3.890
0.0055325 -0.44000 9.20000 0.8981810808 2.4487923174    0.898 -0.120  3.7748  4.563    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-14      0.00 7.493e-01 2.454e-01 9.490e-04 2.592e-04 2.356e-03 -1.000 5.331e-03 5.070 5.691 5.717 5.142 4.778 4.457 4.058 3.736 3.698
0.0055325 -0.44000 9.20000 0.9019563198 2.4497991160    0.901 -0.111  3.7759  4.559    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.37e-14      0.00 7.496e-01 2.451e-01 9.481e-04 2.590e-04 2.354e-03 -1.000 5.323e-03 5.048 5.657 5.689 5.118 4.756 4.437 4.041 3.720 3.683
0.0055325 -0.44000 9.20000 0.9337524176 2.4579085156    0.933 -0.035  3.7845  4.533    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.49e-14      0.00 7.524e-01 2.423e-01 9.389e-04 2.566e-04 2.332e-03 -1.000 5.295e-03 4.857 5.386 5.455 4.919 4.575 4.270 3.895 3.592 3.559
0.0055325 -0.44000 9.20000 0.9477263689 2.4612751798    0.947 -0.002  3.7881  4.521    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.04e-14      0.00 7.539e-01 2.409e-01 9.344e-04 2.554e-04 2.321e-03 -1.000 5.252e-03 4.776 5.273 5.356 4.834 4.498 4.198 3.832 3.537 3.506
0.0055325 -0.44000 9.20000 0.9536020756 2.4626569398    0.953  0.012  3.7895  4.516    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.29e-14      0.00 7.545e-01 2.402e-01 9.322e-04 2.548e-04 2.316e-03 -1.000 5.241e-03 4.741 5.227 5.314 4.798 4.465 4.168 3.805 3.513 3.482
0.0055325 -0.44000 9.20000 0.9959074259 2.4720547023    0.996  0.109  3.7995  4.477    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.34e-14      0.00 7.599e-01 2.350e-01 9.144e-04 2.500e-04 2.273e-03 -1.000 5.130e-03 4.497 4.916 5.026 4.547 4.234 3.952 3.612 3.337 3.311
0.0055325 -0.44000 9.20000 0.9972716570 2.4723425286    0.997  0.112  3.7998  4.476    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.41e-14      0.00 7.601e-01 2.348e-01 9.138e-04 2.498e-04 2.271e-03 -1.000 5.127e-03 4.489 4.906 5.017 4.539 4.227 3.945 3.605 3.332 3.306
0.0055325 -0.44000 9.20000 1.0323395729 2.4794419529    1.032  0.191  3.8077  4.443    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 7.601e-01 2.347e-01 9.178e-04 2.510e-04 2.283e-03 -1.000 5.206e-03 4.292 4.666 4.786 4.336 4.040 3.771 3.449 3.189 3.167
0.0055325 -0.44000 9.20000 1.0468168259 2.4822138114    1.046  0.223  3.8109  4.430    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-13      0.00 7.599e-01 2.349e-01 9.202e-04 2.517e-04 2.290e-03 -1.000 5.230e-03 4.212 4.571 4.692 4.254 3.964 3.700 3.385 3.131 3.110
0.0055325 -0.44000 9.20000 1.0813395977 2.4884805389    1.080  0.299  3.8183  4.398    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 7.602e-01 2.345e-01 9.199e-04 2.516e-04 2.289e-03 -1.000 5.256e-03 4.024 4.354 4.475 4.061 3.785 3.533 3.235 2.996 2.977
0.0055325 -0.44000 9.20000 1.0963621140 2.4910661978    1.095  0.331  3.8215  4.385    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-13      0.00 7.603e-01 2.345e-01 9.200e-04 2.517e-04 2.290e-03 -1.000 5.242e-03 3.943 4.262 4.382 3.978 3.708 3.462 3.170 2.938 2.920
0.0055325 -0.44000 9.20000 1.1023428440 2.4920730669    1.101  0.343  3.8228  4.380    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-13      0.00 7.604e-01 2.344e-01 9.198e-04 2.516e-04 2.289e-03 -1.000 5.235e-03 3.911 4.226 4.345 3.946 3.678 3.434 3.146 2.916 2.898
0.0055325 -0.44000 9.20000 1.1242691278 2.4956592675    1.123  0.389  3.8275  4.361    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 7.605e-01 2.343e-01 9.194e-04 2.515e-04 2.288e-03 -1.000 5.214e-03 3.796 4.095 4.212 3.828 3.569 3.332 3.055 2.835 2.817
0.0055325 -0.44000 9.20000 1.1449620724 2.4988992718    1.144  0.432  3.8319  4.344    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-13      0.00 7.605e-01 2.343e-01 9.197e-04 2.516e-04 2.289e-03 -1.000 5.212e-03 3.690 3.976 4.089 3.718 3.467 3.238 2.971 2.759 2.743
0.0055325 -0.44000 9.20000 1.1459074020 2.4990440761    1.145  0.434  3.8321  4.343    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-13      0.00 7.605e-01 2.343e-01 9.197e-04 2.516e-04 2.289e-03 -1.000 5.212e-03 3.685 3.971 4.083 3.713 3.463 3.234 2.967 2.756 2.739
0.0055325 -0.44000 9.20000 1.1954528093 2.5062663049    1.195  0.532  3.8429  4.306    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-13      0.00 7.598e-01 2.350e-01 9.210e-04 2.520e-04 2.292e-03 -1.000 5.216e-03 3.439 3.703 3.799 3.459 3.230 3.020 2.778 2.589 2.574
0.0055325 -0.44000 9.20000 1.2241437435 2.5101425557    1.223  0.587  3.8497  4.289    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-13      0.00 7.601e-01 2.346e-01 9.200e-04 2.517e-04 2.289e-03 -1.000 5.209e-03 3.302 3.553 3.639 3.318 3.102 2.904 2.677 2.502 2.488
0.0055325 -0.44000 9.20000 1.2449979782 2.5128314660    1.244  0.626  3.8546  4.277    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-13      0.00 7.604e-01 2.344e-01 9.193e-04 2.515e-04 2.288e-03 -1.000 5.197e-03 3.204 3.447 3.524 3.216 3.010 2.821 2.604 2.439 2.425
0.0055325 -0.44000 9.20000 1.2531983852 2.5138606640    1.253  0.642  3.8568  4.273    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-13      0.00 7.605e-01 2.343e-01 9.190e-04 2.514e-04 2.287e-03 -1.000 5.185e-03 3.166 3.406 3.479 3.176 2.975 2.790 2.578 2.417 2.404
0.0055325 -0.44000 9.20000 1.2945431471 2.5188220906    1.294  0.717  3.8672  4.253    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.49e-13      0.00 7.609e-01 2.339e-01 9.179e-04 2.511e-04 2.285e-03 -1.000 5.157e-03 2.977 3.204 3.258 2.981 2.800 2.634 2.445 2.305 2.292
0.0055325 -0.44000 9.20000 1.3108612299 2.5206815067    1.310  0.746  3.8712  4.246    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-13      0.00 7.611e-01 2.337e-01 9.174e-04 2.510e-04 2.283e-03 -1.000 5.180e-03 2.905 3.128 3.173 2.907 2.734 2.575 2.395 2.263 2.250
0.0055325 -0.44000 9.20000 1.3440886736 2.5243077101    1.344  0.804  3.8786  4.229    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.69e-13      0.00 7.614e-01 2.334e-01 9.164e-04 2.507e-04 2.281e-03 -1.000 5.166e-03 2.760 2.976 3.005 2.758 2.600 2.456 2.291 2.173 2.161
0.0055325 -0.44000 9.20000 1.3564480543 2.5256045063    1.356  0.826  3.8812  4.222    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-13      0.00 7.615e-01 2.334e-01 9.162e-04 2.506e-04 2.280e-03 -1.000 5.145e-03 2.706 2.921 2.944 2.703 2.550 2.411 2.252 2.138 2.126
0.0055325 -0.44000 9.20000 1.3933061361 2.5293151928    1.393  0.889  3.8880  4.197    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.87e-13      0.00 7.616e-01 2.332e-01 9.158e-04 2.505e-04 2.279e-03 -1.000 5.221e-03 2.547 2.757 2.765 2.541 2.402 2.276 2.131 2.031 2.019
0.0055325 -0.44000 9.20000 1.3936338425 2.5293471736    1.393  0.890  3.8881  4.197    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.88e-13      0.00 7.616e-01 2.332e-01 9.158e-04 2.505e-04 2.279e-03 -1.000 5.220e-03 2.546 2.755 2.763 2.539 2.401 2.275 2.130 2.030 2.018
0.0055325 -0.44000 9.20000 1.4150571823 2.5314009764    1.415  0.926  3.8908  4.177    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-13      0.00 7.617e-01 2.331e-01 9.156e-04 2.505e-04 2.278e-03 -1.000 5.177e-03 2.454 2.662 2.662 2.445 2.313 2.193 2.053 1.958 1.946
